French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
vont,will
pendant,while
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tellement,so much
point,point
suite,after
pardon,sorry
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
nouvelle,new
dirait,would say
terre,Earth
compte,account
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
